time,mode,lat,lon,alt,vx,vy,vz,roll,pitch,yaw,dlat,dlon,dalt,dvx,dvy,dyr
2607062,0,229955796,1202235057,-3,2,5,2,-1,1,254,0,0,0,0,0,0
2608070,0,229955807,1202235068,-18,4,7,3,-1,1,254,0,0,0,0,0,0
2609078,0,229955813,1202235070,17,3,3,1,-1,1,254,0,0,0,0,0,0
2610086,0,229955814,1202235069,36,2,2,1,-1,1,254,0,0,0,0,0,0
2611430,0,229955827,1202235071,160,3,1,0,-1,1,254,0,0,0,0,0,0
2612598,0,229955830,1202235068,221,2,-1,-1,-1,1,254,0,0,0,0,0,0
2614022,0,229955834,1202235058,227,1,-4,0,-1,1,254,0,0,0,0,0,0
2615022,0,229955832,1202235053,116,-1,-3,1,-1,1,254,0,0,0,0,0,0
2616022,0,229955831,1202235053,51,-1,-2,3,-1,1,254,0,0,0,0,0,0
2617062,0,229955829,1202235054,21,-1,-1,4,-1,1,254,0,0,0,0,0,0
2618086,0,229955825,1202235058,-48,-2,1,5,-1,1,254,0,0,0,0,0,0
2619590,0,229955823,1202235067,-19,0,3,6,-1,1,254,0,0,0,0,0,0
2620598,0,229955822,1202235073,-18,0,3,6,-1,1,254,0,0,0,0,0,0
2621607,0,229955819,1202235083,-48,0,3,7,-1,1,254,0,0,0,0,0,0
2623030,0,229955816,1202235089,-38,0,3,6,-1,1,254,0,0,0,0,0,0
2624038,0,229955816,1202235095,-96,0,2,7,-1,1,255,0,0,0,0,0,0
2712005,0,229955716,1202234923,179,-8,-6,3,-1,1,256,0,0,0,0,0,0
2713013,0,229955717,1202234910,-28,-5,-8,4,-1,1,256,0,0,0,0,0,0
2714020,0,229955718,1202234896,-55,-3,-10,3,-1,1,256,0,0,0,0,0,0
2715509,0,229955711,1202234895,-77,-3,-5,3,-1,1,256,0,0,0,0,0,0
2716533,0,229955709,1202234894,-54,-1,-3,3,-1,1,256,0,0,0,0,0,0
2718083,0,229955704,1202234900,115,0,2,0,-1,1,256,0,0,0,0,0,0
2719084,0,229955702,1202234900,121,1,2,0,-1,1,256,0,0,0,0,0,0
2720085,0,229955706,1202234896,134,3,1,0,-1,1,256,0,0,0,0,0,0
2721588,0,229955712,1202234898,141,5,0,0,-1,1,256,0,0,0,0,0,0
2722596,0,229955710,1202234909,15,2,3,4,-1,1,256,0,0,0,0,0,0
2724083,0,229955711,1202234914,-91,1,2,7,-1,1,256,0,0,0,0,0,0
2725084,0,229955715,1202234921,-177,1,1,9,-1,1,256,0,0,0,0,0,0
2726148,0,229955716,1202234925,-201,1,2,9,-1,1,256,0,0,0,0,0,0
2727588,0,229955727,1202234936,-224,4,2,9,-1,1,256,0,0,0,0,0,0
2728596,0,229955728,1202234950,-192,2,4,8,-1,1,256,0,0,0,0,0,0
2729604,0,229955729,1202234960,-207,2,4,8,-1,1,256,0,0,0,0,0,0
2731140,0,229955728,1202234967,-200,0,4,7,-1,1,256,0,0,0,0,0,0
2732533,0,229955734,1202234976,-145,2,3,6,-1,1,255,0,0,0,0,0,0
2788002,0,229955855,1202234980,6,-1,-1,2,-1,1,255,0,0,0,0,0,0
