time,mode,lat,lon,alt,vx,vy,vz,roll,pitch,yaw,dlat,dlon,dalt,dvx,dvy,dyr
1838252,8,229956129,1202235158,-237,-4,-1,3,-2,1,255,0,0,0,0,0,0
1839772,8,229956130,1202235158,-27,0,0,4,-2,1,255,0,0,0,0,0,0
1840772,8,229956132,1202235160,-35,5,0,3,-2,1,255,0,0,0,0,0,0
1842316,8,229956126,1202235162,21,0,0,1,-2,1,255,0,0,0,0,0,0
1843316,8,229956120,1202235165,122,-2,0,0,-2,1,255,0,0,0,0,0,0
1844316,8,229956120,1202235168,137,-1,1,-1,-2,1,255,0,0,0,0,0,0
1845821,8,229956114,1202235169,152,-2,0,0,-2,1,255,0,0,0,0,0,0
1846861,8,229956104,1202235170,133,-4,0,0,-2,1,255,0,0,0,0,0,0
1848285,8,229956097,1202235169,44,-5,0,2,-2,1,255,0,0,0,0,0,0
1849773,8,229956091,1202235162,-147,-3,-3,7,-1,1,255,0,0,0,0,0,0
1851308,8,229956088,1202235157,-280,-2,-4,10,-1,1,255,0,0,0,0,0,0
1852333,8,229956085,1202235159,-284,-1,-2,9,-2,1,255,0,0,0,0,0,0
1853821,8,229956079,1202235158,-241,-2,-1,7,-2,1,255,0,0,0,0,0,0
1854829,8,229956073,1202235156,-175,-3,-1,5,-2,1,255,0,0,0,0,0,0
1856317,8,229956067,1202235149,-151,-3,-4,4,-2,1,255,0,0,0,0,0,0
1857325,8,229956061,1202235147,-154,-3,-3,5,-2,1,255,0,0,0,0,0,0
1890253,8,229955929,1202235072,286,-6,-6,1,-1,1,255,0,0,0,0,0,0
1891310,8,229955928,1202235064,5,-5,-8,1,-1,1,255,0,0,0,0,0,0
1892333,8,229955924,1202235058,34,-6,-9,0,-1,1,255,0,0,0,0,0,0
1893333,8,229955918,1202235054,99,-5,-5,0,-1,1,255,0,0,0,0,0,0
1894766,8,229955914,1202235054,123,-5,-3,0,-1,1,255,0,0,0,0,0,0
1895774,8,229955914,1202235056,115,-3,-1,0,-1,1,255,0,0,0,0,0,0
1896830,8,229955914,1202235060,107,-3,1,0,-1,1,255,0,0,0,0,0,0
1897838,8,229955914,1202235065,71,-1,1,2,-1,1,255,0,0,0,0,0,0
1899326,8,229955916,1202235067,8,0,1,3,-1,1,255,0,0,0,0,0,0
1900334,8,229955916,1202235068,-58,0,0,4,-1,1,255,0,0,0,0,0,0
1901838,8,229955919,1202235063,-205,0,-1,7,-1,1,255,0,0,0,0,0,0
1902846,8,229955919,1202235058,-289,0,-2,8,-1,1,255,0,0,0,0,0,0
1903846,8,229955924,1202235054,-430,0,-1,10,-1,1,255,0,0,0,0,0,0
1905086,8,229955932,1202235049,-527,2,-3,11,-1,1,255,0,0,0,0,0,0
1906334,8,229955940,1202235045,-555,3,-4,11,-1,1,255,0,0,0,0,0,0
1907334,8,229955950,1202235047,-567,2,-2,10,-1,1,255,0,0,0,0,0,0
1908638,8,229955957,1202235055,-616,1,0,11,-1,1,255,0,0,0,0,0,0
1909822,8,229955967,1202235061,-664,2,0,11,-1,1,255,0,0,0,0,0,0
1910822,8,229955979,1202235072,-780,2,1,13,-1,1,255,0,0,0,0,0,0
1911839,8,229955985,1202235076,-810,1,0,13,-1,1,255,0,0,0,0,0,0
1912926,8,229955991,1202235080,-832,0,0,12,-1,1,255,0,0,0,0,0,0
1914318,8,229955996,1202235083,-841,0,0,12,-1,1,255,0,0,0,0,0,0
1915318,8,229956004,1202235089,-803,0,0,9,-1,1,255,0,0,0,0,0,0
1916334,8,229956006,1202235093,-777,0,0,8,-1,1,255,0,0,0,0,0,0
1917822,8,229956015,1202235102,-766,0,0,8,-1,1,255,0,0,0,0,0,0
1918846,8,229956028,1202235112,-740,0,0,8,-1,1,255,0,0,0,0,0,0
