time,mode,lat,lon,alt,vx,vy,vz,roll,pitch,yaw
2111283,STABILIZE,0,0,-1863,0,0,0,-172,1,-120
2111763,STABILIZE,0,0,32,0,0,0,-172,1,-119
2112285,STABILIZE,0,0,-32,0,0,0,-172,1,-119
2112764,STABILIZE,0,0,21,0,0,2,-172,-1,0
2113284,STABILIZE,0,0,2,0,0,39,-172,-1,-120
2113764,STABILIZE,0,0,60,1,-2,51,-172,-1,-119
2114284,STABILIZE,0,0,-87,2,-3,56,-172,-1,-119
2114764,STABILIZE,0,0,13,2,-3,54,-172,-1,-119
2115284,STABILIZE,0,0,76,3,-3,43,-172,-1,-119
2115764,STABILIZE,0,0,123,3,-4,30,-172,-1,-119
2116284,STABILIZE,0,0,-49,3,-4,16,-173,-1,-119
2116764,STABILIZE,0,0,170,3,-3,7,-173,-1,-119
2117284,STABILIZE,0,0,-27,2,-3,0,-173,-1,-119
2117764,STABILIZE,0,0,2,1,-1,-4,-173,-1,-119
2126271,STABILIZE,0,0,60,0,-1,-6,-173,-1,-119
2126764,STABILIZE,0,0,63,1,-1,-5,-174,0,-119
2127288,STABILIZE,0,0,87,1,-1,-4,-174,0,-119
2127764,STABILIZE,0,0,16,1,-1,-4,-174,0,-119
2128289,STABILIZE,0,0,123,1,-1,-4,-174,0,-119
2128764,STABILIZE,0,0,30,1,-1,-4,-174,0,-119
2129289,STABILIZE,0,0,106,1,-1,-4,-174,0,-119
2129764,STABILIZE,0,0,24,1,-1,-4,-174,0,-119
2130289,STABILIZE,0,0,-27,1,-1,-4,-174,0,-119
2130764,STABILIZE,0,0,-87,0,-1,-4,-174,0,-119
2131290,STABILIZE,0,0,156,0,-1,-3,-174,0,-119
2131764,STABILIZE,0,0,49,0,-1,-3,-174,0,-119
