time,mode,lat,lon,alt,vx,vy,vz,roll,pitch,yaw
2166765,STABILIZE,0,0,0,0,0,0,0,0,0
2167290,STABILIZE,0,0,361,0,-44,30,-5,8,51
2167765,STABILIZE,0,0,488,-2,-38,34,-4,8,51
2168290,STABILIZE,0,0,452,-4,-32,38,-2,8,48
2168765,STABILIZE,0,0,392,-5,-26,41,2,-22,46
2169290,STABILIZE,0,0,419,-6,-19,38,20,-61,34
2169765,STABILIZE,0,0,276,-4,-8,28,107,-72,-44
2170290,STABILIZE,0,0,715,-29,34,-24,67,-14,46
2170765,STABILIZE,0,0,603,5,-21,33,84,36,115
2171290,STABILIZE,0,0,699,-29,27,57,-7,0,93
2171765,STABILIZE,0,0,649,-24,22,-14,30,-78,77
2172291,STABILIZE,0,0,644,-56,60,13,129,0,27
2172765,STABILIZE,0,0,655,-47,65,14,154,60,-4
2173291,STABILIZE,0,0,699,2,70,63,41,38,64
2173765,STABILIZE,0,0,633,-44,116,8,25,29,73
2174291,STABILIZE,0,0,617,-29,105,22,-26,26,110
2174765,STABILIZE,0,0,737,12,101,33,-12,73,153
2175290,STABILIZE,0,0,548,56,81,34,-63,-4,139
2175765,STABILIZE,0,0,702,94,99,21,-36,-50,154
2176291,STABILIZE,0,0,839,103,51,24,86,-6,78
2176766,STABILIZE,0,0,619,165,59,70,97,-5,18
2177291,STABILIZE,0,0,542,91,38,26,-175,34,-72
2177766,STABILIZE,0,0,723,62,42,31,174,4,-63
2178291,STABILIZE,0,0,743,31,40,34,24,31,101
2178766,STABILIZE,0,0,809,5,26,25,85,8,53
2179291,STABILIZE,0,0,806,-19,-14,31,12,-14,81
2179765,STABILIZE,0,0,830,-75,-23,1,58,45,60
2180291,STABILIZE,0,0,617,-59,-70,33,51,-16,57
2180766,STABILIZE,0,0,814,-146,-78,-13,49,17,47
2181291,STABILIZE,0,0,545,-110,-117,48,154,-65,-39
2181766,STABILIZE,0,0,496,-143,-105,15,-40,12,92
2182291,STABILIZE,0,0,699,-187,-95,22,113,11,46
2182767,STABILIZE,0,0,872,-142,-154,52,-18,23,73
2183291,STABILIZE,0,0,833,-178,-140,7,109,13,44
2183766,STABILIZE,0,0,811,-179,-181,-97,34,15,46
2184291,STABILIZE,0,0,647,-87,-198,0,-39,28,51
2184766,STABILIZE,0,0,455,-67,-212,0,126,25,20
2185291,STABILIZE,0,0,800,-152,-151,-60,76,16,37
2185766,STABILIZE,0,0,896,-116,-134,-21,100,32,25
