time,mode,lat,lon,alt,vx,vy,vz,roll,pitch,yaw,dlat,dlon,dalt,dvx,dvy,dyr
2712005,0,229955716,1202234923,179,-8,-6,3,-1,1,256,0,0,0,0,0,0
2713013,0,229955717,1202234910,-28,-5,-8,4,-1,1,256,0,0,0,0,0,0
2714020,0,229955718,1202234896,-55,-3,-10,3,-1,1,256,0,0,0,0,0,0
2715509,0,229955711,1202234895,-77,-3,-5,3,-1,1,256,0,0,0,0,0,0
2716533,0,229955709,1202234894,-54,-1,-3,3,-1,1,256,0,0,0,0,0,0
2718083,0,229955704,1202234900,115,0,2,0,-1,1,256,0,0,0,0,0,0
2719084,0,229955702,1202234900,121,1,2,0,-1,1,256,0,0,0,0,0,0
2720085,0,229955706,1202234896,134,3,1,0,-1,1,256,0,0,0,0,0,0
2721588,0,229955712,1202234898,141,5,0,0,-1,1,256,0,0,0,0,0,0
2722596,0,229955710,1202234909,15,2,3,4,-1,1,256,0,0,0,0,0,0
2724083,0,229955711,1202234914,-91,1,2,7,-1,1,256,0,0,0,0,0,0
2725084,0,229955715,1202234921,-177,1,1,9,-1,1,256,0,0,0,0,0,0
2726148,0,229955716,1202234925,-201,1,2,9,-1,1,256,0,0,0,0,0,0
2727588,0,229955727,1202234936,-224,4,2,9,-1,1,256,0,0,0,0,0,0
2728596,0,229955728,1202234950,-192,2,4,8,-1,1,256,0,0,0,0,0,0
2729604,0,229955729,1202234960,-207,2,4,8,-1,1,256,0,0,0,0,0,0
2731140,0,229955728,1202234967,-200,0,4,7,-1,1,256,0,0,0,0,0,0
2732533,0,229955734,1202234976,-145,2,3,6,-1,1,255,0,0,0,0,0,0
