time,mode,lat,lon,alt,vx,vy,vz,roll,pitch,yaw,dlat,dlon,dalt,dvx,dvy,dyr
2607062,0,229955796,1202235057,-3,2,5,2,-1,1,254,0,0,0,0,0,0
2608070,0,229955807,1202235068,-18,4,7,3,-1,1,254,0,0,0,0,0,0
2609078,0,229955813,1202235070,17,3,3,1,-1,1,254,0,0,0,0,0,0
2610086,0,229955814,1202235069,36,2,2,1,-1,1,254,0,0,0,0,0,0
2611430,0,229955827,1202235071,160,3,1,0,-1,1,254,0,0,0,0,0,0
2612598,0,229955830,1202235068,221,2,-1,-1,-1,1,254,0,0,0,0,0,0
2614022,0,229955834,1202235058,227,1,-4,0,-1,1,254,0,0,0,0,0,0
2615022,0,229955832,1202235053,116,-1,-3,1,-1,1,254,0,0,0,0,0,0
2616022,0,229955831,1202235053,51,-1,-2,3,-1,1,254,0,0,0,0,0,0
2617062,0,229955829,1202235054,21,-1,-1,4,-1,1,254,0,0,0,0,0,0
2618086,0,229955825,1202235058,-48,-2,1,5,-1,1,254,0,0,0,0,0,0
2619590,0,229955823,1202235067,-19,0,3,6,-1,1,254,0,0,0,0,0,0
2620598,0,229955822,1202235073,-18,0,3,6,-1,1,254,0,0,0,0,0,0
2621607,0,229955819,1202235083,-48,0,3,7,-1,1,254,0,0,0,0,0,0
2623030,0,229955816,1202235089,-38,0,3,6,-1,1,254,0,0,0,0,0,0
2624038,0,229955816,1202235095,-96,0,2,7,-1,1,255,0,0,0,0,0,0
