time,mode,lat,lon,alt,vx,vy,vz,roll,pitch,yaw,dlat,dlon,dalt,dvx,dvy,dyr
2788002,0,229955855,1202234980,6,-1,-1,2,-1,1,255,0,0,0,0,0,0
2789011,0,229955847,1202234983,10,-2,-1,1,-1,1,255,0,0,0,0,0,0
2790595,0,229955836,1202234994,10,-1,1,0,-1,1,255,0,0,0,0,0,0
2791984,0,229955825,1202235004,28,-1,2,0,-1,1,255,0,0,0,0,0,0
2793010,0,229955818,1202235010,64,-1,2,-1,-1,1,255,0,0,0,0,0,0
2794065,0,229955812,1202235015,62,-1,2,0,-1,1,255,0,0,0,0,0,0
2795379,0,229955808,1202235024,-6,0,2,0,-1,1,255,0,0,0,0,0,0
